target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
hospital admissions,CZ,2025-07-23,2025-07-20,0.01,1,quantile,0
hospital admissions,CZ,2025-07-23,2025-07-20,0.025,1,quantile,0
hospital admissions,CZ,2025-07-23,2025-07-20,0.05,1,quantile,0
hospital admissions,CZ,2025-07-23,2025-07-20,0.1,1,quantile,0
hospital admissions,CZ,2025-07-23,2025-07-20,0.15,1,quantile,0
hospital admissions,CZ,2025-07-23,2025-07-20,0.2,1,quantile,0.919007786728052
hospital admissions,CZ,2025-07-23,2025-07-20,0.25,1,quantile,1.99567131502519
hospital admissions,CZ,2025-07-23,2025-07-20,0.3,1,quantile,3.25092005772233
hospital admissions,CZ,2025-07-23,2025-07-20,0.35,1,quantile,4.39262135656562
hospital admissions,CZ,2025-07-23,2025-07-20,0.4,1,quantile,5.41531390922355
hospital admissions,CZ,2025-07-23,2025-07-20,0.45,1,quantile,6.84623243467117
hospital admissions,CZ,2025-07-23,2025-07-20,0.5,1,quantile,8.19525962879776
hospital admissions,CZ,2025-07-23,2025-07-20,0.55,1,quantile,9.99464025833296
hospital admissions,CZ,2025-07-23,2025-07-20,0.6,1,quantile,12.1837599257071
hospital admissions,CZ,2025-07-23,2025-07-20,0.65,1,quantile,14.7795638920904
hospital admissions,CZ,2025-07-23,2025-07-20,0.7,1,quantile,17.4133775057511
hospital admissions,CZ,2025-07-23,2025-07-20,0.75,1,quantile,20.2021467453261
hospital admissions,CZ,2025-07-23,2025-07-20,0.8,1,quantile,23.3332048099959
hospital admissions,CZ,2025-07-23,2025-07-20,0.85,1,quantile,27.8470630410949
hospital admissions,CZ,2025-07-23,2025-07-20,0.9,1,quantile,33.7093658746688
hospital admissions,CZ,2025-07-23,2025-07-20,0.95,1,quantile,43.6192094970605
hospital admissions,CZ,2025-07-23,2025-07-20,0.975,1,quantile,53.7569241188983
hospital admissions,CZ,2025-07-23,2025-07-20,0.99,1,quantile,59.5146470604699
hospital admissions,CZ,2025-07-23,2025-07-27,0.01,2,quantile,0
hospital admissions,CZ,2025-07-23,2025-07-27,0.025,2,quantile,0
hospital admissions,CZ,2025-07-23,2025-07-27,0.05,2,quantile,0
hospital admissions,CZ,2025-07-23,2025-07-27,0.1,2,quantile,0
hospital admissions,CZ,2025-07-23,2025-07-27,0.15,2,quantile,0
hospital admissions,CZ,2025-07-23,2025-07-27,0.2,2,quantile,0
hospital admissions,CZ,2025-07-23,2025-07-27,0.25,2,quantile,0.788326376401654
hospital admissions,CZ,2025-07-23,2025-07-27,0.3,2,quantile,2.12541700940693
hospital admissions,CZ,2025-07-23,2025-07-27,0.35,2,quantile,3.93268095451965
hospital admissions,CZ,2025-07-23,2025-07-27,0.4,2,quantile,5.92676990797658
hospital admissions,CZ,2025-07-23,2025-07-27,0.45,2,quantile,7.63952350522497
hospital admissions,CZ,2025-07-23,2025-07-27,0.5,2,quantile,9.49246784464755
hospital admissions,CZ,2025-07-23,2025-07-27,0.55,2,quantile,11.2377093709182
hospital admissions,CZ,2025-07-23,2025-07-27,0.6,2,quantile,13.3633590603486
hospital admissions,CZ,2025-07-23,2025-07-27,0.65,2,quantile,15.9254429402142
hospital admissions,CZ,2025-07-23,2025-07-27,0.7,2,quantile,19.2705831191227
hospital admissions,CZ,2025-07-23,2025-07-27,0.75,2,quantile,22.5890375408402
hospital admissions,CZ,2025-07-23,2025-07-27,0.8,2,quantile,27.7056802354219
hospital admissions,CZ,2025-07-23,2025-07-27,0.85,2,quantile,33.7497734312247
hospital admissions,CZ,2025-07-23,2025-07-27,0.9,2,quantile,41.4554039735391
hospital admissions,CZ,2025-07-23,2025-07-27,0.95,2,quantile,53.5262970212657
hospital admissions,CZ,2025-07-23,2025-07-27,0.975,2,quantile,66.8242339293365
hospital admissions,CZ,2025-07-23,2025-07-27,0.99,2,quantile,88.108476238831
hospital admissions,CZ,2025-07-23,2025-08-03,0.01,3,quantile,0
hospital admissions,CZ,2025-07-23,2025-08-03,0.025,3,quantile,0
hospital admissions,CZ,2025-07-23,2025-08-03,0.05,3,quantile,0
hospital admissions,CZ,2025-07-23,2025-08-03,0.1,3,quantile,0
hospital admissions,CZ,2025-07-23,2025-08-03,0.15,3,quantile,0
hospital admissions,CZ,2025-07-23,2025-08-03,0.2,3,quantile,0
hospital admissions,CZ,2025-07-23,2025-08-03,0.25,3,quantile,0.408547965598988
hospital admissions,CZ,2025-07-23,2025-08-03,0.3,3,quantile,2.31191972178788
hospital admissions,CZ,2025-07-23,2025-08-03,0.35,3,quantile,4.18714099461049
hospital admissions,CZ,2025-07-23,2025-08-03,0.4,3,quantile,6.15564998667766
hospital admissions,CZ,2025-07-23,2025-08-03,0.45,3,quantile,8.52821945385744
hospital admissions,CZ,2025-07-23,2025-08-03,0.5,3,quantile,11.0102740307426
hospital admissions,CZ,2025-07-23,2025-08-03,0.55,3,quantile,13.4830488202919
hospital admissions,CZ,2025-07-23,2025-08-03,0.6,3,quantile,16.4239321651855
hospital admissions,CZ,2025-07-23,2025-08-03,0.65,3,quantile,19.9204518706428
