target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
hospital admissions,CZ,2025-08-20,2025-08-17,0.01,1,quantile,0
hospital admissions,CZ,2025-08-20,2025-08-17,0.025,1,quantile,0
hospital admissions,CZ,2025-08-20,2025-08-17,0.05,1,quantile,0
hospital admissions,CZ,2025-08-20,2025-08-17,0.1,1,quantile,0
hospital admissions,CZ,2025-08-20,2025-08-17,0.15,1,quantile,1.35023577124219
hospital admissions,CZ,2025-08-20,2025-08-17,0.2,1,quantile,2.4712884896907
hospital admissions,CZ,2025-08-20,2025-08-17,0.25,1,quantile,4.07772515574949
hospital admissions,CZ,2025-08-20,2025-08-17,0.3,1,quantile,5.26858121785864
hospital admissions,CZ,2025-08-20,2025-08-17,0.35,1,quantile,6.49450472029893
hospital admissions,CZ,2025-08-20,2025-08-17,0.4,1,quantile,8.18790051933514
hospital admissions,CZ,2025-08-20,2025-08-17,0.45,1,quantile,9.53166650315817
hospital admissions,CZ,2025-08-20,2025-08-17,0.5,1,quantile,11.1604858624561
hospital admissions,CZ,2025-08-20,2025-08-17,0.55,1,quantile,13.4367798134219
hospital admissions,CZ,2025-08-20,2025-08-17,0.6,1,quantile,15.5390857451188
hospital admissions,CZ,2025-08-20,2025-08-17,0.65,1,quantile,18.0395253534898
hospital admissions,CZ,2025-08-20,2025-08-17,0.7,1,quantile,21.2973444803768
hospital admissions,CZ,2025-08-20,2025-08-17,0.75,1,quantile,24.0507585777478
hospital admissions,CZ,2025-08-20,2025-08-17,0.8,1,quantile,27.8966983409977
hospital admissions,CZ,2025-08-20,2025-08-17,0.85,1,quantile,31.7049118184954
hospital admissions,CZ,2025-08-20,2025-08-17,0.9,1,quantile,37.7022656787888
hospital admissions,CZ,2025-08-20,2025-08-17,0.95,1,quantile,48.7206200540518
hospital admissions,CZ,2025-08-20,2025-08-17,0.975,1,quantile,58.0125218241988
hospital admissions,CZ,2025-08-20,2025-08-17,0.99,1,quantile,65.9397013028246
hospital admissions,CZ,2025-08-20,2025-08-24,0.01,2,quantile,0
hospital admissions,CZ,2025-08-20,2025-08-24,0.025,2,quantile,0
hospital admissions,CZ,2025-08-20,2025-08-24,0.05,2,quantile,0
hospital admissions,CZ,2025-08-20,2025-08-24,0.1,2,quantile,0
hospital admissions,CZ,2025-08-20,2025-08-24,0.15,2,quantile,0.530952403123573
hospital admissions,CZ,2025-08-20,2025-08-24,0.2,2,quantile,2.29959303153686
hospital admissions,CZ,2025-08-20,2025-08-24,0.25,2,quantile,3.76236437368963
hospital admissions,CZ,2025-08-20,2025-08-24,0.3,2,quantile,5.34012143102437
hospital admissions,CZ,2025-08-20,2025-08-24,0.35,2,quantile,7.22444049723568
hospital admissions,CZ,2025-08-20,2025-08-24,0.4,2,quantile,9.14938173261749
hospital admissions,CZ,2025-08-20,2025-08-24,0.45,2,quantile,11.1941585372324
hospital admissions,CZ,2025-08-20,2025-08-24,0.5,2,quantile,12.9772019234718
hospital admissions,CZ,2025-08-20,2025-08-24,0.55,2,quantile,14.9465110776966
hospital admissions,CZ,2025-08-20,2025-08-24,0.6,2,quantile,17.131398986882
hospital admissions,CZ,2025-08-20,2025-08-24,0.65,2,quantile,20.5549464979442
hospital admissions,CZ,2025-08-20,2025-08-24,0.7,2,quantile,24.1375604792853
hospital admissions,CZ,2025-08-20,2025-08-24,0.75,2,quantile,27.686853068178
hospital admissions,CZ,2025-08-20,2025-08-24,0.8,2,quantile,33.2755300045407
hospital admissions,CZ,2025-08-20,2025-08-24,0.85,2,quantile,39.4676826495707
hospital admissions,CZ,2025-08-20,2025-08-24,0.9,2,quantile,47.4506011129194
hospital admissions,CZ,2025-08-20,2025-08-24,0.95,2,quantile,62.0711675147163
hospital admissions,CZ,2025-08-20,2025-08-24,0.975,2,quantile,73.2474088445056
hospital admissions,CZ,2025-08-20,2025-08-24,0.99,2,quantile,97.8436819775424
hospital admissions,CZ,2025-08-20,2025-08-31,0.01,3,quantile,0
hospital admissions,CZ,2025-08-20,2025-08-31,0.025,3,quantile,0
hospital admissions,CZ,2025-08-20,2025-08-31,0.05,3,quantile,0
hospital admissions,CZ,2025-08-20,2025-08-31,0.1,3,quantile,0
hospital admissions,CZ,2025-08-20,2025-08-31,0.15,3,quantile,0.096973497298757
hospital admissions,CZ,2025-08-20,2025-08-31,0.2,3,quantile,2.01339169886811
hospital admissions,CZ,2025-08-20,2025-08-31,0.25,3,quantile,3.78023827316357
hospital admissions,CZ,2025-08-20,2025-08-31,0.3,3,quantile,5.62897394926662
hospital admissions,CZ,2025-08-20,2025-08-31,0.35,3,quantile,7.60072574368592
hospital admissions,CZ,2025-08-20,2025-08-31,0.4,3,quantile,10.0315583108482
hospital admissions,CZ,2025-08-20,2025-08-31,0.45,3,quantile,12.4806743509824
hospital admissions,CZ,2025-08-20,2025-08-31,0.5,3,quantile,15.0933966941581
hospital admissions,CZ,2025-08-20,2025-08-31,0.55,3,quantile,18.055482593508
hospital admissions,CZ,2025-08-20,2025-08-31,0.6,3,quantile,21.0541802290624
hospital admissions,CZ,2025-08-20,2025-08-31,0.65,3,quantile,25.0520572605783
hospital admissions,CZ,2025-08-20,2025-08-31,0.7,3,quantile,28.7231161910695
hospital admissions,CZ,2025-08-20,2025-08-31,0.75,3,quantile,33.8717314311759
hospital admissions,CZ,2025-08-20,2025-08-31,0.8,3,quantile,39.9874674482021
hospital admissions,CZ,2025-08-20,2025-08-31,0.85,3,quantile,48.503071181716
hospital admissions,CZ,2025-08-20,2025-08-31,0.9,3,quantile,62.5006976259469
hospital admissions,CZ,2025-08-20,2025-08-31,0.95,3,quantile,84.7138547546029
hospital admissions,CZ,2025-08-20,2025-08-31,0.975,3,quantile,109.098589506448
hospital admissions,CZ,2025-08-20,2025-08-31,0.99,3,quantile,149.018186268343
hospital admissions,CZ,2025-08-20,2025-09-07,0.01,4,quantile,0
hospital admissions,CZ,2025-08-20,2025-09-07,0.025,4,quantile,0
hospital admissions,CZ,2025-08-20,2025-09-07,0.05,4,quantile,0
hospital admissions,CZ,2025-08-20,2025-09-07,0.1,4,quantile,0
hospital admissions,CZ,2025-08-20,2025-09-07,0.15,4,quantile,0
hospital admissions,CZ,2025-08-20,2025-09-07,0.2,4,quantile,1.51135806695153
hospital admissions,CZ,2025-08-20,2025-09-07,0.25,4,quantile,4.08046876217317
hospital admissions,CZ,2025-08-20,2025-09-07,0.3,4,quantile,7.02733824244923
hospital admissions,CZ,2025-08-20,2025-09-07,0.35,4,quantile,8.91629558134735
hospital admissions,CZ,2025-08-20,2025-09-07,0.4,4,quantile,11.6105580765912
hospital admissions,CZ,2025-08-20,2025-09-07,0.45,4,quantile,14.3724306583162
hospital admissions,CZ,2025-08-20,2025-09-07,0.5,4,quantile,17.5535911920646
hospital admissions,CZ,2025-08-20,2025-09-07,0.55,4,quantile,20.9277745265076
hospital admissions,CZ,2025-08-20,2025-09-07,0.6,4,quantile,24.5880481415202
hospital admissions,CZ,2025-08-20,2025-09-07,0.65,4,quantile,30.1485564202309
