target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
hospital admissions,CY,2024-11-27,2024-11-24,0.01,1,quantile,2.82541207265733
hospital admissions,CY,2024-11-27,2024-11-24,0.025,1,quantile,4.82568893853028
hospital admissions,CY,2024-11-27,2024-11-24,0.05,1,quantile,6.44292944072609
hospital admissions,CY,2024-11-27,2024-11-24,0.1,1,quantile,7.79140500894395
hospital admissions,CY,2024-11-27,2024-11-24,0.15,1,quantile,8.93563749089394
hospital admissions,CY,2024-11-27,2024-11-24,0.2,1,quantile,10.1399323720837
hospital admissions,CY,2024-11-27,2024-11-24,0.25,1,quantile,11.0954135834563
hospital admissions,CY,2024-11-27,2024-11-24,0.3,1,quantile,11.8104967545439
hospital admissions,CY,2024-11-27,2024-11-24,0.35,1,quantile,12.6341413700702
hospital admissions,CY,2024-11-27,2024-11-24,0.4,1,quantile,13.4417905491052
hospital admissions,CY,2024-11-27,2024-11-24,0.45,1,quantile,14.140573351948
hospital admissions,CY,2024-11-27,2024-11-24,0.5,1,quantile,14.8982154191207
hospital admissions,CY,2024-11-27,2024-11-24,0.55,1,quantile,15.9605262650611
hospital admissions,CY,2024-11-27,2024-11-24,0.6,1,quantile,16.7896882539156
hospital admissions,CY,2024-11-27,2024-11-24,0.65,1,quantile,17.6717384105458
hospital admissions,CY,2024-11-27,2024-11-24,0.7,1,quantile,18.8144372187021
hospital admissions,CY,2024-11-27,2024-11-24,0.75,1,quantile,19.8003368959874
hospital admissions,CY,2024-11-27,2024-11-24,0.8,1,quantile,21.1540015232664
hospital admissions,CY,2024-11-27,2024-11-24,0.85,1,quantile,22.4809654344726
hospital admissions,CY,2024-11-27,2024-11-24,0.9,1,quantile,24.4151716344553
hospital admissions,CY,2024-11-27,2024-11-24,0.95,1,quantile,28.0301906197682
hospital admissions,CY,2024-11-27,2024-11-24,0.975,1,quantile,30.4771075878259
hospital admissions,CY,2024-11-27,2024-11-24,0.99,1,quantile,35.5777351061939
hospital admissions,CY,2024-11-27,2024-12-01,0.01,2,quantile,2.55957465634763
hospital admissions,CY,2024-11-27,2024-12-01,0.025,2,quantile,3.20370978459707
hospital admissions,CY,2024-11-27,2024-12-01,0.05,2,quantile,4.25999774276571
hospital admissions,CY,2024-11-27,2024-12-01,0.1,2,quantile,5.84966524868174
hospital admissions,CY,2024-11-27,2024-12-01,0.15,2,quantile,7.45057053115955
hospital admissions,CY,2024-11-27,2024-12-01,0.2,2,quantile,8.67672687352047
hospital admissions,CY,2024-11-27,2024-12-01,0.25,2,quantile,9.82794775626515
hospital admissions,CY,2024-11-27,2024-12-01,0.3,2,quantile,10.6618051258867
hospital admissions,CY,2024-11-27,2024-12-01,0.35,2,quantile,11.7430222819382
hospital admissions,CY,2024-11-27,2024-12-01,0.4,2,quantile,12.5275824600972
hospital admissions,CY,2024-11-27,2024-12-01,0.45,2,quantile,13.5218027014853
hospital admissions,CY,2024-11-27,2024-12-01,0.5,2,quantile,14.7413408927133
hospital admissions,CY,2024-11-27,2024-12-01,0.55,2,quantile,15.9570839367276
hospital admissions,CY,2024-11-27,2024-12-01,0.6,2,quantile,17.1749259621133
hospital admissions,CY,2024-11-27,2024-12-01,0.65,2,quantile,18.3310633258501
hospital admissions,CY,2024-11-27,2024-12-01,0.7,2,quantile,19.7679173792147
hospital admissions,CY,2024-11-27,2024-12-01,0.75,2,quantile,21.6479823888235
hospital admissions,CY,2024-11-27,2024-12-01,0.8,2,quantile,23.3347625257178
hospital admissions,CY,2024-11-27,2024-12-01,0.85,2,quantile,25.8202877505846
hospital admissions,CY,2024-11-27,2024-12-01,0.9,2,quantile,28.7439294930921
hospital admissions,CY,2024-11-27,2024-12-01,0.95,2,quantile,33.3422967567403
hospital admissions,CY,2024-11-27,2024-12-01,0.975,2,quantile,37.5039007218366
hospital admissions,CY,2024-11-27,2024-12-01,0.99,2,quantile,45.0266788909385
hospital admissions,CY,2024-11-27,2024-12-08,0.01,3,quantile,2.70800417516646
hospital admissions,CY,2024-11-27,2024-12-08,0.025,3,quantile,3.38504055819327
hospital admissions,CY,2024-11-27,2024-12-08,0.05,3,quantile,4.22224921811561
hospital admissions,CY,2024-11-27,2024-12-08,0.1,3,quantile,5.83270861358536
