target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
hospital admissions,CZ,2025-08-27,2025-08-24,0.01,1,quantile,0
hospital admissions,CZ,2025-08-27,2025-08-24,0.025,1,quantile,0
hospital admissions,CZ,2025-08-27,2025-08-24,0.05,1,quantile,0
hospital admissions,CZ,2025-08-27,2025-08-24,0.1,1,quantile,0.276069906379764
hospital admissions,CZ,2025-08-27,2025-08-24,0.15,1,quantile,1.66520550634755
hospital admissions,CZ,2025-08-27,2025-08-24,0.2,1,quantile,2.98131511322842
hospital admissions,CZ,2025-08-27,2025-08-24,0.25,1,quantile,4.61425190513395
hospital admissions,CZ,2025-08-27,2025-08-24,0.3,1,quantile,5.7667059275892
hospital admissions,CZ,2025-08-27,2025-08-24,0.35,1,quantile,7.03030383578218
hospital admissions,CZ,2025-08-27,2025-08-24,0.4,1,quantile,8.7480902563976
hospital admissions,CZ,2025-08-27,2025-08-24,0.45,1,quantile,10.0806651792266
hospital admissions,CZ,2025-08-27,2025-08-24,0.5,1,quantile,11.862413458897
hospital admissions,CZ,2025-08-27,2025-08-24,0.55,1,quantile,14.235200436458
hospital admissions,CZ,2025-08-27,2025-08-24,0.6,1,quantile,16.3183584812693
hospital admissions,CZ,2025-08-27,2025-08-24,0.65,1,quantile,19.0093089902213
hospital admissions,CZ,2025-08-27,2025-08-24,0.7,1,quantile,22.3280242478754
hospital admissions,CZ,2025-08-27,2025-08-24,0.75,1,quantile,25.1334076573288
hospital admissions,CZ,2025-08-27,2025-08-24,0.8,1,quantile,28.9972888000994
hospital admissions,CZ,2025-08-27,2025-08-24,0.85,1,quantile,32.8867825901291
hospital admissions,CZ,2025-08-27,2025-08-24,0.9,1,quantile,39.0807910759263
hospital admissions,CZ,2025-08-27,2025-08-24,0.95,1,quantile,50.4279186279276
hospital admissions,CZ,2025-08-27,2025-08-24,0.975,1,quantile,59.8027247552934
hospital admissions,CZ,2025-08-27,2025-08-24,0.99,1,quantile,67.6497623247717
hospital admissions,CZ,2025-08-27,2025-08-31,0.01,2,quantile,0
hospital admissions,CZ,2025-08-27,2025-08-31,0.025,2,quantile,0
hospital admissions,CZ,2025-08-27,2025-08-31,0.05,2,quantile,0
hospital admissions,CZ,2025-08-27,2025-08-31,0.1,2,quantile,0
hospital admissions,CZ,2025-08-27,2025-08-31,0.15,2,quantile,1.07453460107759
hospital admissions,CZ,2025-08-27,2025-08-31,0.2,2,quantile,2.82096334592296
hospital admissions,CZ,2025-08-27,2025-08-31,0.25,2,quantile,4.34377630658
hospital admissions,CZ,2025-08-27,2025-08-31,0.3,2,quantile,5.95452191141344
hospital admissions,CZ,2025-08-27,2025-08-31,0.35,2,quantile,7.90181247674404
hospital admissions,CZ,2025-08-27,2025-08-31,0.4,2,quantile,9.93078752642345
hospital admissions,CZ,2025-08-27,2025-08-31,0.45,2,quantile,12.0508020053834
hospital admissions,CZ,2025-08-27,2025-08-31,0.5,2,quantile,13.7904453285873
hospital admissions,CZ,2025-08-27,2025-08-31,0.55,2,quantile,15.869289651424
hospital admissions,CZ,2025-08-27,2025-08-31,0.6,2,quantile,18.2392633702102
hospital admissions,CZ,2025-08-27,2025-08-31,0.65,2,quantile,21.4985088529704
hospital admissions,CZ,2025-08-27,2025-08-31,0.7,2,quantile,25.0780192293743
hospital admissions,CZ,2025-08-27,2025-08-31,0.75,2,quantile,28.9860559629969
hospital admissions,CZ,2025-08-27,2025-08-31,0.8,2,quantile,34.7150747766452
hospital admissions,CZ,2025-08-27,2025-08-31,0.85,2,quantile,40.6285777422785
