target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
hospital admissions,CY,2025-01-15,2025-01-12,0.01,1,quantile,1.25794812139858
hospital admissions,CY,2025-01-15,2025-01-12,0.025,1,quantile,1.25794812139858
hospital admissions,CY,2025-01-15,2025-01-12,0.05,1,quantile,1.33982713692001
hospital admissions,CY,2025-01-15,2025-01-12,0.1,1,quantile,1.56096763535848
hospital admissions,CY,2025-01-15,2025-01-12,0.15,1,quantile,1.72925575552173
hospital admissions,CY,2025-01-15,2025-01-12,0.2,1,quantile,1.95545699549698
hospital admissions,CY,2025-01-15,2025-01-12,0.25,1,quantile,2.26343703505327
hospital admissions,CY,2025-01-15,2025-01-12,0.3,1,quantile,2.64337084263018
hospital admissions,CY,2025-01-15,2025-01-12,0.35,1,quantile,3.02370358614375
hospital admissions,CY,2025-01-15,2025-01-12,0.4,1,quantile,3.77216965422322
hospital admissions,CY,2025-01-15,2025-01-12,0.45,1,quantile,4.59605369695442
hospital admissions,CY,2025-01-15,2025-01-12,0.5,1,quantile,5.89503545464305
hospital admissions,CY,2025-01-15,2025-01-12,0.55,1,quantile,7.80306505638738
hospital admissions,CY,2025-01-15,2025-01-12,0.6,1,quantile,8.97906687485457
hospital admissions,CY,2025-01-15,2025-01-12,0.65,1,quantile,10.8501524816686
hospital admissions,CY,2025-01-15,2025-01-12,0.7,1,quantile,12.49984507421
hospital admissions,CY,2025-01-15,2025-01-12,0.75,1,quantile,14.4636076841235
hospital admissions,CY,2025-01-15,2025-01-12,0.8,1,quantile,16.9425261858162
hospital admissions,CY,2025-01-15,2025-01-12,0.85,1,quantile,19.4403103194635
hospital admissions,CY,2025-01-15,2025-01-12,0.9,1,quantile,23.0055993129384
hospital admissions,CY,2025-01-15,2025-01-12,0.95,1,quantile,29.802993471172
hospital admissions,CY,2025-01-15,2025-01-12,0.975,1,quantile,35.7508086377703
hospital admissions,CY,2025-01-15,2025-01-12,0.99,1,quantile,43.5754903617323
hospital admissions,CY,2025-01-15,2025-01-19,0.01,2,quantile,1.19866393492754
hospital admissions,CY,2025-01-15,2025-01-19,0.025,2,quantile,1.23536772373206
hospital admissions,CY,2025-01-15,2025-01-19,0.05,2,quantile,1.41371565985614
hospital admissions,CY,2025-01-15,2025-01-19,0.1,2,quantile,1.67438933189252
hospital admissions,CY,2025-01-15,2025-01-19,0.15,2,quantile,1.9186504757444
hospital admissions,CY,2025-01-15,2025-01-19,0.2,2,quantile,2.34746793494572
hospital admissions,CY,2025-01-15,2025-01-19,0.25,2,quantile,2.79143348627994
hospital admissions,CY,2025-01-15,2025-01-19,0.3,2,quantile,3.1402295312401
hospital admissions,CY,2025-01-15,2025-01-19,0.35,2,quantile,3.62294646249917
hospital admissions,CY,2025-01-15,2025-01-19,0.4,2,quantile,4.21991917321639
hospital admissions,CY,2025-01-15,2025-01-19,0.45,2,quantile,5.13470554513902
hospital admissions,CY,2025-01-15,2025-01-19,0.5,2,quantile,6.25489543903492
hospital admissions,CY,2025-01-15,2025-01-19,0.55,2,quantile,7.47590749190687
hospital admissions,CY,2025-01-15,2025-01-19,0.6,2,quantile,9.18989470372521
hospital admissions,CY,2025-01-15,2025-01-19,0.65,2,quantile,10.8854906900056
hospital admissions,CY,2025-01-15,2025-01-19,0.7,2,quantile,12.571361756608
hospital admissions,CY,2025-01-15,2025-01-19,0.75,2,quantile,15.1435655237131
hospital admissions,CY,2025-01-15,2025-01-19,0.8,2,quantile,17.5283647275059
hospital admissions,CY,2025-01-15,2025-01-19,0.85,2,quantile,21.2276093639127
hospital admissions,CY,2025-01-15,2025-01-19,0.9,2,quantile,25.6804896288371
hospital admissions,CY,2025-01-15,2025-01-19,0.95,2,quantile,33.504061815518
hospital admissions,CY,2025-01-15,2025-01-19,0.975,2,quantile,43.9392426287565
hospital admissions,CY,2025-01-15,2025-01-19,0.99,2,quantile,53.4289468868167
hospital admissions,CY,2025-01-15,2025-01-26,0.01,3,quantile,1.13837726879414
hospital admissions,CY,2025-01-15,2025-01-26,0.025,3,quantile,1.13837726879414
hospital admissions,CY,2025-01-15,2025-01-26,0.05,3,quantile,1.32191936033559
hospital admissions,CY,2025-01-15,2025-01-26,0.1,3,quantile,1.70699878721956
hospital admissions,CY,2025-01-15,2025-01-26,0.15,3,quantile,2.03056429869063
hospital admissions,CY,2025-01-15,2025-01-26,0.2,3,quantile,2.32190105877567
hospital admissions,CY,2025-01-15,2025-01-26,0.25,3,quantile,2.68412326245585
hospital admissions,CY,2025-01-15,2025-01-26,0.3,3,quantile,3.25244550495433
hospital admissions,CY,2025-01-15,2025-01-26,0.35,3,quantile,3.86566812339095
