origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.010,0.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.025,0.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.050,0.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.100,0.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.150,0.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.200,0.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.250,0.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.300,0.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.350,0.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.400,2.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.450,10.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.500,18.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.550,25.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.600,33.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.650,41.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.700,49.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.750,59.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.800,69.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.850,81.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.900,95.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.950,119.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.975,140.0
2025-05-21,hospital admissions,1,2025-05-18,CY,quantile,0.990,166.0
2025-05-21,hospital admissions,1,2025-05-18,CY,median,,18.0
2025-05-21,hospital admissions,2,2025-05-25,CY,quantile,0.010,0.0
2025-05-21,hospital admissions,2,2025-05-25,CY,quantile,0.025,0.0
2025-05-21,hospital admissions,2,2025-05-25,CY,quantile,0.050,0.0
2025-05-21,hospital admissions,2,2025-05-25,CY,quantile,0.100,0.0
2025-05-21,hospital admissions,2,2025-05-25,CY,quantile,0.150,0.0
2025-05-21,hospital admissions,2,2025-05-25,CY,quantile,0.200,0.0
2025-05-21,hospital admissions,2,2025-05-25,CY,quantile,0.250,0.0
