origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.010,0.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.025,0.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.050,0.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.100,0.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.150,0.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.200,0.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.250,0.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.300,0.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.350,0.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.400,4.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.450,11.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.500,18.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.550,25.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.600,32.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.650,39.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.700,47.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.750,55.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.800,65.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.850,76.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.900,91.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.950,111.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.975,131.0
2025-04-23,hospital admissions,1,2025-04-20,CY,quantile,0.990,156.0
2025-04-23,hospital admissions,1,2025-04-20,CY,median,,18.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.010,0.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.025,0.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.050,0.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.100,0.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.150,0.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.200,0.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.250,0.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.300,0.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.350,0.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.400,3.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.450,10.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.500,17.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.550,25.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.600,32.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.650,40.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.700,48.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.750,56.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.800,66.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.850,77.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.900,92.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.950,114.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.975,133.0
2025-04-23,hospital admissions,2,2025-04-27,CY,quantile,0.990,158.0
2025-04-23,hospital admissions,2,2025-04-27,CY,median,,17.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.010,0.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.025,0.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.050,0.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.100,0.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.150,0.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.200,0.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.250,0.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.300,0.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.350,0.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.400,3.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.450,10.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.500,17.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.550,25.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.600,33.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.650,41.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.700,49.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.750,58.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.800,67.0
2025-04-23,hospital admissions,3,2025-05-04,CY,quantile,0.850,78.14999999999964
