origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.010,0.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.025,0.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.050,0.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.100,0.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.150,0.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.200,0.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.250,0.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.300,0.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.350,0.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.400,7.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.450,13.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.500,19.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.550,25.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.600,31.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.650,38.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.700,45.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.750,52.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.800,61.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.850,71.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.900,84.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.950,105.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.975,121.0
2025-04-02,hospital admissions,1,2025-03-30,CY,quantile,0.990,145.0
2025-04-02,hospital admissions,1,2025-03-30,CY,median,,19.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.010,0.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.025,0.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.050,0.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.100,0.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.150,0.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.200,0.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.250,0.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.300,0.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.350,0.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.400,6.600000000000364
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.450,13.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.500,19.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.550,26.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.600,32.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.650,39.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.700,45.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.750,53.0
2025-04-02,hospital admissions,2,2025-04-06,CY,quantile,0.800,62.0
