origin_date,target,target_end_date,horizon,location,team_id,model_id,metric,value_absolute,value_relative,n_models,rank,rank_score
2024-10-23,hospital admissions,2024-10-20,1,CY,ECDC,SARIMA,WIS,4.79782608695652,-0.142375197483453,7,5,0.49474056395297483
2024-10-23,hospital admissions,2024-10-20,1,CY,ECDC,soca_simplex,WIS,7.23130434782609,-0.7342502311748479,7,7,0.0
2024-10-23,hospital admissions,2024-10-20,1,CY,ISI,CovBcast,WIS,3.22304347826087,0.4315820156335819,7,2,0.8149032086979575
2024-10-23,hospital admissions,2024-10-20,1,CY,ISI,CovidABCaster,WIS,2.31260869565217,0.9104844900636803,7,1,1.0
2024-10-23,hospital admissions,2024-10-20,1,CY,ISI,RC_AdaptEns2,WIS,5.5695652173913,-0.357559043545485,7,6,0.337841421373642
2024-10-23,hospital admissions,2024-10-20,1,CY,respicast,hubEnsemble,WIS,3.49826086956522,0.3133677890578917,7,3,0.7589498806682569
2024-10-23,hospital admissions,2024-10-20,1,CY,respicast,quantileBaseline,WIS,4.34695652173913,0.0,7,4,0.5864050207725625
2024-10-23,hospital admissions,2024-10-20,1,CZ,ECDC,SARIMA,WIS,59.9413043478261,-1.406561743482333,7,7,0.0
2024-10-23,hospital admissions,2024-10-20,1,CZ,ECDC,soca_simplex,WIS,14.3613043478261,0.6548019482409912,7,4,0.8740026845189958
2024-10-23,hospital admissions,2024-10-20,1,CZ,ISI,CovBcast,WIS,12.2530434782609,0.8838485960977293,7,2,0.9144288727521317
2024-10-23,hospital admissions,2024-10-20,1,CZ,ISI,CovidABCaster,WIS,7.7904347826087,1.5372129821891218,7,1,1.0
2024-10-23,hospital admissions,2024-10-20,1,CZ,ISI,RC_AdaptEns2,WIS,15.4217391304348,0.552023265254124,7,5,0.8536687036774573
2024-10-23,hospital admissions,2024-10-20,1,CZ,respicast,hubEnsemble,WIS,12.7004347826087,0.8321108477556769,7,3,0.9058500837870058
2024-10-23,hospital admissions,2024-10-20,1,CZ,respicast,quantileBaseline,WIS,22.6104347826087,0.0,7,6,0.7158244891493744
2024-10-23,hospital admissions,2024-10-20,1,FR,respicast,quantileBaseline,WIS,10.0326086956522,0.0,1,1,0.0
2024-10-23,hospital admissions,2024-10-20,1,GR,ECDC,SARIMA,WIS,116.181739130435,-0.7265902282970567,7,5,0.3682952788902966
